Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[environment type]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Factor Value[region]
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles oryzalimnetes	NCBITAXON	NCBITaxon:58237	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles oryzalimnetes_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			quadrimaculatus species complex	NCBITAXON	NCBITaxon:44532	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	quadrimaculatus species complex_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles quadrimaculatus	NCBITAXON	NCBITaxon:7166	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles quadrimaculatus_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles freeborni	NCBITAXON	NCBITaxon:7170	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles freeborni_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles arabiensis	NCBITAXON	NCBITaxon:7173	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles arabiensis_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			annularis species complex	NCBITAXON	NCBITaxon:348691	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	annularis species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			culicifacies species complex	NCBITAXON	NCBITaxon:63408	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	culicifacies species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles aconitus	NCBITAXON	NCBITaxon:93947	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles aconitus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			subpictus species complex	NCBITAXON	NCBITaxon:59159	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	subpictus species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			dirus species complex	NCBITAXON	NCBITaxon:409350	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	dirus species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles maculatus group	NCBITAXON	NCBITaxon:74868	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles maculatus group_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			minimus species complex	NCBITAXON	NCBITaxon:93949	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	minimus species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			fluviatilis species complex	NCBITAXON	NCBITaxon:112264	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	fluviatilis species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			barbirostris group	NCBITAXON	NCBITaxon:59127	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	barbirostris group_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles maculatus	NCBITAXON	NCBITaxon:74869	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles maculatus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles barbirostris	NCBITAXON	NCBITaxon:112267	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles barbirostris_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles flavirostris	NCBITAXON	NCBITaxon:59147	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles flavirostris_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles sundaicus	NCBITAXON	NCBITaxon:34692	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles sundaicus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			sundaicus species complex	NCBITAXON	NCBITaxon:199889	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	sundaicus species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles sinensis	NCBITAXON	NCBITaxon:74873	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles sinensis_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles harrisoni	NCBITAXON	NCBITaxon:486634	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles harrisoni_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles dirus	NCBITAXON	NCBITaxon:7168	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles dirus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles minimus	NCBITAXON	NCBITaxon:112268	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles minimus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles balabacensis	NCBITAXON	NCBITaxon:59124	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles balabacensis_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles stephensi	NCBITAXON	NCBITaxon:30069	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles stephensi_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles lesteri	NCBITAXON	NCBITaxon:109668	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles lesteri_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles baimaii	NCBITAXON	NCBITaxon:48725	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles baimaii_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles leucosphyrus	NCBITAXON	NCBITaxon:409345	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles leucosphyrus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles cracens	NCBITAXON	NCBITaxon:123217	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles cracens_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles fluviatilis T	NCBITAXON	NCBITaxon:112266	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles fluviatilis T_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles culicifacies A	NCBITAXON	NCBITaxon:63366	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles culicifacies A_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles culicifacies B	NCBITAXON	NCBITaxon:63367	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles culicifacies B_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles culicifacies C	NCBITAXON	NCBITaxon:63368	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles culicifacies C_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles fluviatilis S	NCBITAXON	NCBITaxon:112265	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles fluviatilis S_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles culicifacies D	NCBITAXON	NCBITaxon:216372	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles culicifacies D_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles scanloni	NCBITAXON	NCBITaxon:114091	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles scanloni_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles epiroticus	NCBITAXON	NCBITaxon:199890	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles epiroticus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles annularis	NCBITAXON	NCBITaxon:59163	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles annularis_Asia Pacific	Asia Pacific
