Sample Name	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]	Factor Value[region]
Anopheles nuneztovariSp B/C_Americas	Site geo-positioning	Bionomics datasets	Anopheles nuneztovari(Sp. B/C)_Americas	Bionomics Americas.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Americas
Anopheles albitarsis_Americas	Site geo-positioning	Bionomics datasets	Anopheles albitarsis_Americas	Bionomics Americas.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Americas
Anopheles oryzalimnetes_Americas	Site geo-positioning	Bionomics datasets	Anopheles albitarsis (Sp. B)_Americas	Bionomics Americas.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Americas
quadrimaculatus species complex_Americas	Site geo-positioning	Bionomics datasets	Anopheles quadrimaculatus complex_Americas	Bionomics Americas.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Americas
Anopheles quadrimaculatus_Americas	Site geo-positioning	Bionomics datasets	Anopheles quadrimaculatus (formerly Sp. A)_Americas	Bionomics Americas.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Americas
Anopheles freeborni_Americas	Site geo-positioning	Bionomics datasets	Anopheles freeborni_Americas	Bionomics Americas.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Americas
Anopheles arabiensis_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles arabiensis_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
annularis species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles annularis complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
culicifacies species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles culicifacies complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles aconitus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles aconitus_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
subpictus species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles subpictus complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
dirus species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles dirus complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
